Epoch 5 Loss 2.041456827957518, Validation Accuracy 15/16
Epoch 5 Loss 1.1096838625073884, Validation Accuracy 16/16
Epoch 5 Loss 1.8340572911616428, Validation Accuracy 15/16
Epoch 5 Loss 0.6421386139179998, Validation Accuracy 16/16
Epoch 5 Loss 1.1660588633321072, Validation Accuracy 13/16
Epoch 5 Loss 1.171546857254493, Validation Accuracy 13/16
Epoch 5 Loss 2.0324399133872966, Validation Accuracy 13/16
Epoch 5 Loss 1.273424257633342, Validation Accuracy 13/16
Epoch 5 Loss 1.358714747238668, Validation Accuracy 15/16
Epoch 5 Loss 0.8900428931564363, Validation Accuracy 16/16
Epoch 5 Loss 1.7317345095282584, Validation Accuracy 14/16
Epoch 6 Loss 0.05224035735295749, Validation Accuracy 14/16
Epoch 6 Loss 0.861302873131351, Validation Accuracy 16/16
Epoch 6 Loss 1.4756369651171777, Validation Accuracy 15/16
Epoch 6 Loss 1.233885460007921, Validation Accuracy 13/16
Epoch 6 Loss 0.9862984018328552, Validation Accuracy 14/16
Epoch 6 Loss 0.4191999598329005, Validation Accuracy 13/16
Epoch 6 Loss 1.3404617404770962, Validation Accuracy 15/16
Epoch 6 Loss 1.3320877958624133, Validation Accuracy 14/16
Epoch 6 Loss 1.5369381415672585, Validation Accuracy 15/16
Epoch 6 Loss 1.0763829928814006, Validation Accuracy 16/16
Epoch 6 Loss 1.8218496269381514, Validation Accuracy 14/16
Epoch 6 Loss 1.8835176278349373, Validation Accuracy 15/16
Epoch 6 Loss 1.9437273813076945, Validation Accuracy 16/16
Epoch 6 Loss 1.3916582442437333, Validation Accuracy 16/16
Epoch 6 Loss 2.2917194587806033, Validation Accuracy 16/16
Epoch 6 Loss 1.1405595040801817, Validation Accuracy 16/16
Epoch 6 Loss 2.3323179517556665, Validation Accuracy 16/16
Epoch 6 Loss 1.6383657368342466, Validation Accuracy 16/16
Epoch 6 Loss 0.9441506267162194, Validation Accuracy 14/16
Epoch 6 Loss 0.8265510163607518, Validation Accuracy 15/16
Epoch 6 Loss 1.3389593548467666, Validation Accuracy 15/16
Epoch 6 Loss 0.8268294044402964, Validation Accuracy 16/16
Epoch 6 Loss 0.7084004161644621, Validation Accuracy 15/16
Epoch 6 Loss 0.9145777229040264, Validation Accuracy 14/16
Epoch 6 Loss 0.8321436679084576, Validation Accuracy 13/16
Epoch 6 Loss 0.9749078812978089, Validation Accuracy 16/16
Epoch 6 Loss 1.4522807380663956, Validation Accuracy 15/16
Epoch 6 Loss 0.7699929098117391, Validation Accuracy 15/16
Epoch 6 Loss 1.2097642083018032, Validation Accuracy 16/16
Epoch 6 Loss 0.34402265399905974, Validation Accuracy 14/16
Epoch 6 Loss 0.8736974244803972, Validation Accuracy 14/16
Epoch 6 Loss 0.8809580534491785, Validation Accuracy 16/16
Epoch 6 Loss 0.5470766152672293, Validation Accuracy 16/16
Epoch 6 Loss 1.113849527533913, Validation Accuracy 16/16
Epoch 6 Loss 1.4438158231327132, Validation Accuracy 14/16
Epoch 6 Loss 1.6212106850786268, Validation Accuracy 14/16
Epoch 6 Loss 0.42992157593998165, Validation Accuracy 13/16
Epoch 6 Loss 1.0437849755433901, Validation Accuracy 13/16
Epoch 6 Loss 1.2651556959235042, Validation Accuracy 14/16
Epoch 6 Loss 1.3697343445659285, Validation Accuracy 15/16
Epoch 6 Loss 0.5232003670527066, Validation Accuracy 14/16
Epoch 6 Loss 1.446488534409479, Validation Accuracy 16/16
Epoch 6 Loss 0.6421981502526262, Validation Accuracy 15/16
Epoch 6 Loss 0.8132857940404455, Validation Accuracy 15/16
Epoch 6 Loss 0.8251892861924635, Validation Accuracy 14/16
Epoch 6 Loss 0.6477231128884237, Validation Accuracy 16/16
Epoch 6 Loss 2.2522455124835963, Validation Accuracy 15/16
Epoch 6 Loss 1.81073222431824, Validation Accuracy 15/16
Epoch 6 Loss 0.9238461052016493, Validation Accuracy 15/16
Epoch 6 Loss 0.7856593990732328, Validation Accuracy 15/16
Epoch 6 Loss 0.9351481767395003, Validation Accuracy 15/16
Epoch 6 Loss 0.5778262190814205, Validation Accuracy 15/16
Epoch 6 Loss 1.190092926496011, Validation Accuracy 14/16
Epoch 6 Loss 0.9056583030898295, Validation Accuracy 16/16
Epoch 6 Loss 0.850653362531817, Validation Accuracy 15/16
Epoch 6 Loss 0.5370783334438386, Validation Accuracy 14/16
Epoch 6 Loss 1.3849334903810053, Validation Accuracy 13/16
Epoch 6 Loss 1.7916051815920928, Validation Accuracy 15/16
Epoch 6 Loss 1.549828479492379, Validation Accuracy 15/16
Epoch 6 Loss 1.7886676057358497, Validation Accuracy 14/16
Epoch 6 Loss 1.3879290874055268, Validation Accuracy 13/16
Epoch 6 Loss 1.1178668984282896, Validation Accuracy 14/16
Epoch 6 Loss 1.0030733242111372, Validation Accuracy 15/16
Epoch 7 Loss 0.05738023856273726, Validation Accuracy 15/16
Epoch 7 Loss 0.8812076571060992, Validation Accuracy 15/16
Epoch 7 Loss 2.237979232476851, Validation Accuracy 15/16
Epoch 7 Loss 1.008905709954426, Validation Accuracy 15/16
Epoch 7 Loss 0.5499202882633988, Validation Accuracy 15/16
Epoch 7 Loss 0.35711741205061265, Validation Accuracy 15/16
Epoch 7 Loss 0.7534221559532059, Validation Accuracy 15/16
Epoch 7 Loss 1.6140671404158402, Validation Accuracy 14/16
Epoch 7 Loss 0.8596913176289588, Validation Accuracy 15/16
Epoch 7 Loss 1.1083265411268983, Validation Accuracy 15/16
Epoch 7 Loss 1.544017984221766, Validation Accuracy 15/16
Epoch 7 Loss 1.2672165726332716, Validation Accuracy 14/16
Epoch 7 Loss 1.001019687114217, Validation Accuracy 16/16
Epoch 7 Loss 1.7070934875608461, Validation Accuracy 15/16
Epoch 7 Loss 1.4340104372178495, Validation Accuracy 15/16
Epoch 7 Loss 0.7732239740120351, Validation Accuracy 16/16
Epoch 7 Loss 1.9120664760165584, Validation Accuracy 13/16
Epoch 7 Loss 1.004462091637942, Validation Accuracy 14/16
Epoch 7 Loss 1.0327110798531942, Validation Accuracy 16/16
Epoch 7 Loss 0.9536730904837905, Validation Accuracy 16/16
Epoch 7 Loss 0.9025214098819784, Validation Accuracy 14/16
Epoch 7 Loss 1.4594731293998942, Validation Accuracy 14/16
Epoch 7 Loss 0.3585499733002865, Validation Accuracy 15/16
Epoch 7 Loss 1.5485578438164016, Validation Accuracy 13/16
Epoch 7 Loss 0.6273722742675946, Validation Accuracy 14/16
Epoch 7 Loss 1.6655976183937529, Validation Accuracy 15/16
Epoch 7 Loss 1.0680781820774392, Validation Accuracy 15/16
Epoch 7 Loss 1.430600208787539, Validation Accuracy 16/16
Epoch 7 Loss 0.6648923181766071, Validation Accuracy 16/16
Epoch 7 Loss 0.312503066747166, Validation Accuracy 15/16
Epoch 7 Loss 0.6011315967647703, Validation Accuracy 16/16
Epoch 7 Loss 0.7747057838324269, Validation Accuracy 14/16
Epoch 7 Loss 0.4490516486457093, Validation Accuracy 16/16
Epoch 7 Loss 0.6776382616866502, Validation Accuracy 16/16
Epoch 7 Loss 1.2707164622059308, Validation Accuracy 15/16
Epoch 7 Loss 0.5561089727459559, Validation Accuracy 15/16
Epoch 7 Loss 1.3672759054942882, Validation Accuracy 15/16
Epoch 7 Loss 0.5322784030712874, Validation Accuracy 14/16
Epoch 7 Loss 1.249155201641595, Validation Accuracy 14/16
Epoch 7 Loss 0.8475958524017417, Validation Accuracy 15/16
Epoch 7 Loss 0.645282191238456, Validation Accuracy 14/16
Epoch 7 Loss 0.968930732863039, Validation Accuracy 16/16
Epoch 7 Loss 0.888768855154248, Validation Accuracy 14/16
Epoch 7 Loss 1.314784610438205, Validation Accuracy 14/16
Epoch 7 Loss 1.144937756220102, Validation Accuracy 16/16
Epoch 7 Loss 0.7778228459244529, Validation Accuracy 15/16
Epoch 7 Loss 1.146487822842978, Validation Accuracy 15/16
Epoch 7 Loss 1.1085018196029006, Validation Accuracy 15/16
Epoch 7 Loss 0.23846158154076996, Validation Accuracy 15/16
